"Municipality";"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"Калачевский муниципальный район";"02.05.1963";"кирпичные";"683,2";"г. Калач-на-Дону, пл. Павших Борцов, д. 6";43,5073765;48,691589
"Калачевский муниципальный район";"19.12.1960";"кирпичные";"707,1";"г. Калач-на-Дону, ул. Маяковского, д. 15";43,540803;48,6821615
"Калачевский муниципальный район";"19.11.1961";"кирпичные";"687,5";"г. Калач-на-Дону, ул. Октябрьская, д. 274";43,5451505;48,6791455
"Калачевский муниципальный район";"19.01.1961";"кирпичные";"781,3";"г. Калач-на-Дону, ул. Октябрьская, д. 276";43,545537;48,679425
"Калачевский муниципальный район";"19.02.1962";"кирпичные";"691,2";"г. Калач-на-Дону, ул. Октябрьская, д. 278";43,5459235;48,6791815
"Калачевский муниципальный район";"19.02.1962";"кирпичные";"819,7";"г. Калач-на-Дону, ул. Октябрьская, д. 280";43,5464535;48,6791275
"Калачевский муниципальный район";"19.11.1959";"кирпичные";"852,1";"г. Калач-на-Дону, ул. Октябрьская, д. 287";43,543884;48,6805675
"Калачевский муниципальный район";"19.12.1960";"кирпичные";"689,5";"г. Калач-на-Дону, ул. Октябрьская, д. 289";43,544468;48,6803765
"Калачевский муниципальный район";"19.02.1962";"кирпичные";"794,7";"г. Калач-на-Дону, ул. Октябрьская, д. 297";43,546597;48,6796805
"Калачевский муниципальный район";"01.01.1962";"кирпичные";"682,4";"г. Калач-на-Дону, ул. Пархоменко, д. 17";43,543399;48,6810605
"Калачевский муниципальный район";"01.01.1964";"кирпичные";"687";"г. Калач-на-Дону, ул. Пархоменко, д. 18";43,543965;48,6809125
"Калачевский муниципальный район";"01.12.1962";"кирпичные";"726,4";"г. Калач-на-Дону, ул. Пархоменко, д. 19";43,5437225;48,6814895
"Калачевский муниципальный район";"19.01.1949";"каркасно-щитовые";"126,1";"г. Калач-на-Дону, ул. Пархоменко, д. 9";43,542321;48,6795265
"Калачевский муниципальный район";"19.02.1962";"деревянные";"670";"г. Калач-на-Дону, ул. Революционная,        д. 152";43,504008;48,692106
"Калачевский муниципальный район";"19.03.1963";"кирпичные";"684,6";"г. Калач-на-Дону, ул. Революционная,          д. 191, секц. а";43,504484;48,692439
"Калачевский муниципальный район";"19.05.1965";"кирпичные";"685,9";"г. Калач-на-Дону, ул. Революционная, д. 191, секц. б";43,504484;48,692439
"Калачевский муниципальный район";"19.05.1965";"кирпичные";"1000,7";"г. Калач-на-Дону, ул. Чекмарева, д. 2";43,5463545;48,6767185
"Калачевский муниципальный район";"19.05.1965";"кирпичные";"680,3";"г. Калач-на-Дону, ул. Чекмарева, д. 6";43,5474595;48,677212
"Калачевский муниципальный район";"19.05.1965";"кирпичные";"681,1";"г. Калач-на-Дону, ул. Чекмарева, д. 7";43,5453845;48,6779555
"Калачевский муниципальный район";"02.05.1963";"кирпичные";"680,2";"г. Калач-на-Дону, ул. Чекмарева, д. 9";43,545618;48,678253
"Калачевский муниципальный район";"19.05.1965";"кирпичные";"859,7";"г. Калач-на-Дону, ул. Чекмарева, д. 10";43,54754;48,6783305
"Калачевский муниципальный район";"19.03.1963";"кирпичные";"675,9";"г. Калач-на-Дону, ул. Чекмарева, д. 11";43,545025;48,678271
"Калачевский муниципальный район";"19.03.1963";"кирпичные";"680,3";"г. Калач-на-Дону, ул. Чекмарева, д. 13";43,546049;48,678366
"Калачевский муниципальный район";"19.03.1963";"кирпичные";"691,9";"г. Калач-на-Дону, ул. Чекмарева, д. 15";43,5463365;48,6787585
"Калачевский муниципальный район";"19.02.1986";"железобетонные";"4663,8";"г. Калач-на-Дону, ул. Чекмарева, д. 16";43,5488605;48,6799845
"Калачевский муниципальный район";"02.05.1985";"кирпичные";"949,2";"г. Калач-на-Дону, пер. Московский, д. 8";43,5468035;48,683452
"Калачевский муниципальный район";"02.05.1978";"деревянные";"1000,7";"г. Калач-на-Дону, пер. Чекмарева, д. 2";43,5536935;48,684606
"Калачевский муниципальный район";"02.05.1970";"кирпичные";"654,9";"г. Калач-на-Дону, пл. Павших Борцов, д. 8";43,5062985;48,691184
"Калачевский муниципальный район";"19.11.1971";"кирпичные";"773";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 1";43,5299515;48,6922385
"Калачевский муниципальный район";"19.08.1980";"панельные";"4796";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 10";43,5299515;48,6922385
"Калачевский муниципальный район";"19.01.1973";"кирпичные";"773,5";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 11";43,5299515;48,6922385
"Калачевский муниципальный район";"19.12.1972";"кирпичные";"758,1";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 13";43,5299515;48,6922385
"Калачевский муниципальный район";"19.06.1966";"кирпичные";"682,5";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 3";43,5299515;48,6922385
"Калачевский муниципальный район";"19.08.1980";"панельные";"4810,2";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 4";43,5299515;48,6922385
"Калачевский муниципальный район";"19.10.1970";"кирпичные";"716,3";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 5";43,5299515;48,6922385
"Калачевский муниципальный район";"19.12.1972";"кирпичные";"752,6";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 7";43,5299515;48,6922385
"Калачевский муниципальный район";"19.04.1976";"кирпичные";"3622,9";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 8";43,5299515;48,6922385
"Калачевский муниципальный район";"19.07.1967";"кирпичные";"676,4";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 9";43,5299515;48,6922385
"Калачевский муниципальный район";"19.01.1973";"кирпичные";"685,5";"г. Калач-на-Дону, ул. 65 Армии, д. 4";43,5654615;48,660552
"Калачевский муниципальный район";"19.01.1973";"кирпичные";"679";"г. Калач-на-Дону, ул. 65 Армии, д. 6";43,5659195;48,660802
"Калачевский муниципальный район";"19.08.1968";"кирпичные";"688,2";"г. Калач-на-Дону, ул. Краснознаменская, д. 120";43,5238785;48,6981835
"Калачевский муниципальный район";"19.11.1983";"кирпичные";"597,8";"г. Калач-на-Дону, ул. Маяковского, д. 22";43,54401;48,683476
"Калачевский муниципальный район";"19.11.1983";"кирпичные";"939,4";"г. Калач-на-Дону, ул. Маяковского, д. 24";43,5443155;48,6839045
"Калачевский муниципальный район";"19.11.1983";"кирпичные";"613";"г. Калач-на-Дону, ул. Маяковского, д. 26";43,5446565;48,6843505
"Калачевский муниципальный район";"19.03.1975";"деревянные";"374,7";"г. Калач-на-Дону, ул. Октябрьская, д. 146";43,520007;48,687687
"Калачевский муниципальный район";"19.11.1971";"кирпичные";"865,5";"г. Калач-на-Дону, ул. Октябрьская, д. 285";43,5430305;48,6808405
"Калачевский муниципальный район";"01.12.1981";"кирпичные";"3427,5";"г. Калач-на-Дону, ул. Пархоменко, д. 19, секц. а";43,5437225;48,6814895
"Калачевский муниципальный район";"01.12.1973";"кирпичные";"752,1";"г. Калач-на-Дону, ул. Пархоменко, д. 20, секц. а";43,5442615;48,6813105
"Калачевский муниципальный район";"19.06.1977";"кирпичные";"930,5";"г. Калач-на-Дону, ул. Пархоменко, д. 22, секц. а";43,5445845;48,6817335
